,stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel,stress_levels_1,stress_levels_2,new_stress_score
0,3,7,0,523.004794072819,0.420343553379733,0.295944986253162,0.7040550137468371,631.7490725820528,1502.9350813222509,117.85263818161026,20.66681309166045,95.32626908739168,523.004794072819,2021-02-01T02:18:20Z,2021-02-01T02:18:20Z,0,1,3.0,3.0,1.0
1,3,0,0,505.8367129770999,0.218616297706238,0.179397155706625,0.820602844293373,186.9538781562266,855.1689883955619,121.23520174509034,17.23407476554638,82.36403297844213,505.8367129770999,2021-02-01T02:19:20Z,2021-02-01T02:18:50Z,0,3,3.0,3.0,1.0
3,3,5,0,500.6446785449281,0.393502209809895,0.282383628127563,0.7176163718724361,702.6878354235137,1785.7278000115664,122.22627259161231,16.471003337200873,72.68955974826723,500.6446785449281,2021-02-01T02:21:20Z,2021-02-01T02:19:50Z,0,1,3.0,3.0,1.0
5,2,8,0,485.6436288391832,1.231202461185746,0.551811179220122,0.448188820779877,867.3103019766903,704.4416570946429,126.7826585830909,17.189372396016104,79.63986099820326,485.6436288391832,2021-02-01T02:23:20Z,2021-02-01T02:20:50Z,0,1,3.0,0.0,0.5833333333333334
6,2,5,0,467.5526661394914,1.646462273547718,0.6221370657744351,0.377862934225564,325.90873802688617,197.94485623082852,131.5465550516297,17.32705219369814,74.19404154070764,467.5526661394914,2021-02-01T02:24:20Z,2021-02-01T02:21:20Z,0,1,3.0,0.0,0.5833333333333334
7,3,2,0,430.9361307780457,0.6255779021191441,0.384834157319452,0.6151658426805471,145.94580810680702,233.29757590927656,143.08657108750157,13.675451115894068,71.72733601982668,430.9361307780457,2021-02-01T02:25:20Z,2021-02-01T02:21:50Z,0,1,3.0,2.0,0.8611111111111112
10,3,3,0,415.174813806999,0.197017395187729,0.164590252388797,0.835409747611202,8.260978485497043,41.93019848641035,146.9572811401802,6.844559059252521,54.05445365774985,415.174813806999,2021-02-01T02:28:20Z,2021-02-01T02:23:20Z,0,1,3.0,3.0,1.0
11,3,0,0,399.25573515583744,0.6920463349328331,0.40899963591145,0.5910003640885491,46.027634223957065,66.50946894823777,153.05256123600967,6.139270349339193,54.610340676354895,399.25573515583744,2021-02-01T02:29:20Z,2021-02-01T02:23:50Z,0,3,3.0,2.0,0.8611111111111112
12,3,0,0,410.6091923084177,0.895273559514228,0.472371682188028,0.5276283178119711,83.00196128236955,92.7112840542348,148.31697077575402,9.293597101009492,49.81648257726289,410.6091923084177,2021-02-01T02:30:20Z,2021-02-01T02:24:20Z,0,3,3.0,1.0,0.7222222222222222
13,3,1,0,409.90319517698816,0.655430028912066,0.395927352690834,0.6040726473091651,97.18128495304413,148.27102919643949,149.12716180158588,11.146695473692498,55.220081038186265,409.90319517698816,2021-02-01T02:31:20Z,2021-02-01T02:24:50Z,0,1,3.0,2.0,0.8611111111111112
