,stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel,stress_levels_1,stress_levels_2,new_stress_score
1,3,2,0,547.9528318696622,0.8023346981221231,0.445164096856198,0.554835903143801,478.29607845732863,596.1303675097032,110.35340136636223,5.709699497667482,47.52602518554312,547.9528318696622,2021-01-15T03:54:17Z,2021-01-15T03:53:47Z,0,1,2.0,1.0,0.5
6,3,9,0,526.5379629706977,0.21950033146472198,0.179992022799275,0.8200079772007242,122.48358316457286,558.0109257568853,114.4273998942385,4.6666577318625375,34.55062393631116,526.5379629706977,2021-01-15T03:59:17Z,2021-01-15T03:56:17Z,0,1,3.0,3.0,1.0
7,3,0,0,519.5758493329298,0.4113624375005461,0.291464776566569,0.70853522343343,140.85981331879395,342.4226435808373,115.98704167029223,4.887100531267934,35.63308132987751,519.5758493329298,2021-01-15T04:00:17Z,2021-01-15T03:56:47Z,0,3,3.0,3.0,1.0
13,3,1,0,551.0457209412364,0.6604525873015611,0.3977545594209809,0.6022454405790181,816.2986325697647,1235.9685589316114,110.57729350873531,8.262705856821404,69.43154464659838,551.0457209412364,2021-01-15T04:06:17Z,2021-01-15T03:59:47Z,0,1,2.0,2.0,0.6666666666666666
14,2,1,0,567.3716664680977,1.220188064674123,0.549587705694301,0.45041229430569796,828.7406088013563,679.1908827781302,106.98809283073092,7.453026294056777,61.3113051709414,567.3716664680977,2021-01-15T04:07:17Z,2021-01-15T04:00:17Z,0,1,2.0,0.0,0.3333333333333333
15,2,0,0,587.9196755062455,1.5867648939747199,0.6134167421518391,0.3865832578481601,558.3658963590011,351.8894944545557,102.90082542581949,7.937695954111841,53.65889522704907,587.9196755062455,2021-01-15T04:08:17Z,2021-01-15T04:00:47Z,0,3,2.0,0.0,0.3333333333333333
16,0,0,0,603.5652177339364,2.89138389159829,0.743022012770558,0.25697798722944104,658.700775358796,227.8150532943177,99.88013374264402,7.7612828869812445,41.7309033075128,603.5652177339364,2021-01-15T04:09:17Z,2021-01-15T04:01:17Z,0,3,2.0,0.0,0.3333333333333333
17,0,0,0,607.0406436080164,5.8908853228443245,0.8548807659467421,0.14511923405325702,792.6551339764475,134.55619835317486,99.17201226147287,6.996739223587763,35.31375379371014,607.0406436080164,2021-01-15T04:10:17Z,2021-01-15T04:01:47Z,0,3,2.0,0.0,0.3333333333333333
18,0,0,0,608.1225500702651,2.6847333978165238,0.7286099448626121,0.271390055137387,473.82942422662666,176.49030798066917,98.94224016822076,6.867498254179213,32.36553579908077,608.1225500702651,2021-01-15T04:11:17Z,2021-01-15T04:02:17Z,0,3,2.0,0.0,0.3333333333333333
19,2,0,0,609.7486036835638,1.1670205448474629,0.538536908485844,0.461463091514155,279.8415714560049,239.791469560274,98.69020894138195,6.954556722234418,33.220060624082535,609.7486036835638,2021-01-15T04:12:17Z,2021-01-15T04:02:47Z,0,3,2.0,0.0,0.3333333333333333
20,1,0,0,610.1255795508036,1.8209105156893608,0.645504529676431,0.35449547032356804,442.1382152866851,242.81161071734502,98.60223939359018,6.3060049257166275,31.658349190039225,610.1255795508036,2021-01-15T04:13:17Z,2021-01-15T04:03:17Z,0,3,2.0,0.0,0.3333333333333333
21,0,0,0,613.2250998897157,2.593196123837564,0.7216962376849071,0.27830376231509196,607.0043692627355,234.07576607219926,98.09861607898584,6.452385175114473,31.417385333034176,613.2250998897157,2021-01-15T04:14:17Z,2021-01-15T04:03:47Z,0,3,2.0,0.0,0.3333333333333333
22,0,0,0,622.1219511374677,2.8163076056010032,0.7379666150253841,0.26203338497461504,527.2305494309572,187.2063081399255,96.73110516776205,6.869918094748111,33.942895776766136,622.1219511374677,2021-01-15T04:15:17Z,2021-01-15T04:04:17Z,0,3,2.0,0.0,0.3333333333333333
23,0,0,0,622.2563801873524,2.943194681565915,0.7463985218191451,0.25360147818085405,422.8737994632617,143.6785008181223,96.75884550176056,7.144965818347522,36.60699477492321,622.2563801873524,2021-01-15T04:16:17Z,2021-01-15T04:04:47Z,0,3,2.0,0.0,0.3333333333333333
24,1,0,0,633.9615194600143,1.6139681929663972,0.6174398744824909,0.382560125517508,507.5867041530919,314.4961012026956,94.98634547996372,7.769596685795299,38.22551066395058,633.9615194600143,2021-01-15T04:17:17Z,2021-01-15T04:05:17Z,0,3,2.0,0.0,0.3333333333333333
25,2,0,0,636.2508218100686,1.086579362622838,0.5207467216856789,0.47925327831432,572.3929448639752,526.7842962545371,94.6461797574434,8.028531418086668,38.39506685929389,636.2508218100686,2021-01-15T04:18:17Z,2021-01-15T04:05:47Z,0,3,2.0,0.0,0.3333333333333333
26,2,0,0,637.5703737733186,1.091600574574835,0.5218972435962,0.47810275640379896,611.986695420485,560.6324416408869,94.47945784083653,8.201361572489411,40.11306623265453,637.5703737733186,2021-01-15T04:19:17Z,2021-01-15T04:06:17Z,0,3,2.0,0.0,0.3333333333333333
27,2,0,0,632.2684440005191,1.4509447877374702,0.5919940730598321,0.408005926940168,652.9613703597938,450.0249602040259,95.29380205596362,8.065860741671301,41.18892896036265,632.2684440005191,2021-01-15T04:20:17Z,2021-01-15T04:06:47Z,0,3,2.0,0.0,0.3333333333333333
28,1,0,0,631.015102741197,2.246700225761921,0.6919949701345379,0.30800502986546097,620.178591488705,276.0397601679968,95.4466110689299,7.748950859213503,39.483757426892865,631.015102741197,2021-01-15T04:21:17Z,2021-01-15T04:07:17Z,0,3,2.0,0.0,0.3333333333333333
29,0,0,0,623.4746424090632,2.297333533825082,0.6967246444007901,0.30327535559920904,491.9223407780036,214.1275237291941,96.52496773037254,7.052624273674757,34.7800375592197,623.4746424090632,2021-01-15T04:22:17Z,2021-01-15T04:07:47Z,0,3,2.0,0.0,0.3333333333333333
30,1,0,0,619.0203248215691,1.5836883370017572,0.6129564136359991,0.3870435863640001,399.4796385660662,252.2463727442497,97.20512612848721,6.4759153527884825,33.8105695644134,619.0203248215691,2021-01-15T04:23:17Z,2021-01-15T04:08:17Z,0,3,2.0,0.0,0.3333333333333333
31,2,0,0,619.477504142727,0.9692440440111152,0.49219092319146,0.507809076808539,370.32157409389083,382.07258159808083,97.12633015823502,6.917372532963756,33.32860802848782,619.477504142727,2021-01-15T04:24:17Z,2021-01-15T04:08:47Z,0,3,2.0,1.0,0.5
32,2,0,0,612.4275407787103,1.058850842499501,0.514292157859297,0.4857078421407021,381.6103235652646,360.4004532540611,98.52308433373811,6.8926353381670955,44.0938814545782,612.4275407787103,2021-01-15T04:25:17Z,2021-01-15T04:09:17Z,0,3,2.0,0.0,0.3333333333333333
33,2,0,0,616.4137527225693,1.496356264315581,0.5994161513344061,0.40058384866559305,517.7996218160366,346.0403342200548,98.04946252581236,7.934916104537238,51.040819439215156,616.4137527225693,2021-01-15T04:26:17Z,2021-01-15T04:09:47Z,0,3,2.0,0.0,0.3333333333333333
34,2,2,0,634.4576597741773,1.075596780409467,0.518210854131926,0.481789145868073,590.35151664713,548.8595051599076,95.66989735331484,9.947982360872023,67.57158593216987,634.4576597741773,2021-01-15T04:27:17Z,2021-01-15T04:10:17Z,0,1,2.0,0.0,0.3333333333333333
35,2,5,0,645.9338994974297,1.2802577719167259,0.561453089946306,0.438546910053693,944.0260846714168,737.3718835216104,93.96716344846918,10.262888045064622,67.19863001567765,645.9338994974297,2021-01-15T04:28:17Z,2021-01-15T04:10:47Z,0,1,2.0,0.0,0.3333333333333333
36,1,0,0,653.1114563156549,1.3968017472464451,0.58277734019977,0.41722265980022905,938.6688844396162,672.0129655407725,92.93690612856876,9.970041636947043,67.2410093101675,653.1114563156549,2021-01-15T04:29:17Z,2021-01-15T04:11:17Z,1,3,2.0,0.0,0.3333333333333333
37,2,0,0,666.9502123879664,1.2447210039980778,0.5545103386038179,0.44548966139618107,385.96802552135557,310.0839660306332,90.5344261931868,10.487493290116024,52.77057402992131,666.9502123879664,2021-01-15T04:30:17Z,2021-01-15T04:11:47Z,3,3,2.0,0.0,0.3333333333333333
38,1,0,0,676.6123391177223,1.4706316638304409,0.595245210105657,0.4047547898943421,421.3604332481306,286.5166333700754,89.01695130811675,10.149515460495527,42.66715684536861,676.6123391177223,2021-01-15T04:31:17Z,2021-01-15T04:12:17Z,3,3,2.0,0.0,0.3333333333333333
39,1,0,0,665.007883510319,1.4212432297429851,0.586989036162984,0.413010963837015,515.7689710750541,362.89986138989366,90.48726466311287,9.015370455792224,36.00023038196042,665.007883510319,2021-01-15T04:32:17Z,2021-01-15T04:12:47Z,3,3,2.0,0.0,0.3333333333333333
40,0,0,0,665.9888431008964,2.5936677935648493,0.7217327651179409,0.27826723488205796,700.0968621977396,269.92541756301654,90.37283221729187,9.182809152472744,37.369856232105825,665.9888431008964,2021-01-15T04:33:17Z,2021-01-15T04:13:17Z,3,3,2.0,0.0,0.3333333333333333
41,0,0,0,667.9462225651706,3.111472926336353,0.7567781624939258,0.243221837506073,904.9925134451707,290.85662477891674,90.13940595873257,9.763939521453958,39.67215979061823,667.9462225651706,2021-01-15T04:34:17Z,2021-01-15T04:13:47Z,3,3,2.0,0.0,0.3333333333333333
42,0,0,0,663.0561544770396,2.456398990550483,0.7106815495740161,0.28931845042598303,762.9697734690761,310.60498575522263,90.853702971519,9.36467487723282,42.483952247214155,663.0561544770396,2021-01-15T04:35:17Z,2021-01-15T04:14:17Z,1,3,2.0,0.0,0.3333333333333333
43,0,0,0,652.7047553461235,2.433172911860377,0.7087242543055841,0.291275745694415,818.5365080783816,336.40704451725037,92.3573467965538,9.02844197034372,45.4815311580816,652.7047553461235,2021-01-15T04:36:17Z,2021-01-15T04:14:47Z,1,3,2.0,0.0,0.3333333333333333
44,2,0,0,646.9659377264028,1.214913275210645,0.5485150542045949,0.4514849457954041,619.9287962202187,510.26588388601937,93.1617676843285,8.248045855815597,44.41673047289532,646.9659377264028,2021-01-15T04:37:17Z,2021-01-15T04:15:17Z,3,3,2.0,0.0,0.3333333333333333
45,2,0,0,647.0871720688898,0.9247075883132072,0.4804405583102681,0.519559441689731,453.36270492450905,490.2768298370995,93.13932969972052,8.259574890314399,44.18199396116007,647.0871720688898,2021-01-15T04:38:17Z,2021-01-15T04:15:47Z,1,3,2.0,1.0,0.5
46,2,0,0,648.6230621208889,1.162738916660563,0.537623338491509,0.4623766615084901,462.5757964159954,397.8329010819842,92.92333873238084,8.13699788806464,44.22040817320128,648.6230621208889,2021-01-15T04:39:17Z,2021-01-15T04:16:17Z,3,3,2.0,0.0,0.3333333333333333
47,1,0,0,659.4275028107237,1.390070451658493,0.5816022915533341,0.41839770844666496,470.1380432353344,338.2116659442782,91.42820089019921,8.844545301381238,46.13471237656887,659.4275028107237,2021-01-15T04:40:17Z,2021-01-15T04:16:47Z,3,3,2.0,0.0,0.3333333333333333
48,1,0,0,667.9418245471445,1.619402238919584,0.618233509484795,0.381766490515204,670.0971869161948,413.7929235933768,90.2563808073177,9.281994782806684,46.37658795788373,667.9418245471445,2021-01-15T04:41:17Z,2021-01-15T04:17:17Z,1,3,2.0,0.0,0.3333333333333333
49,1,0,0,658.7716418828222,1.5932231960826888,0.6143795098275401,0.38562049017246003,993.9815539786913,623.8809204025064,92.18182393419701,9.653913418508573,67.59790415268581,658.7716418828222,2021-01-15T04:42:17Z,2021-01-15T04:17:47Z,1,3,2.0,0.0,0.3333333333333333
50,2,0,0,647.65825646927,0.8967061891229859,0.472770213048976,0.5272297869510231,984.9467200358113,1098.4051766154614,94.00649080080757,9.948799155558186,74.44284082638819,647.65825646927,2021-01-15T04:43:17Z,2021-01-15T04:18:17Z,3,3,2.0,1.0,0.5
51,3,7,0,640.8101338670649,0.460503344172092,0.31530454620981,0.684695453790189,690.1205550773198,1498.6222441403547,94.90980538200223,9.591753027134407,71.38883757891539,640.8101338670649,2021-01-15T04:44:17Z,2021-01-15T04:18:47Z,3,1,2.0,3.0,0.8333333333333334
52,2,2,0,634.6124677611208,1.0571454334383599,0.51388949767709,0.486110502322909,817.1842035431184,773.0102005787709,95.75562012768272,9.571193133362216,68.76982689805439,634.6124677611208,2021-01-15T04:45:17Z,2021-01-15T04:19:17Z,1,1,2.0,0.0,0.3333333333333333
53,0,0,0,639.2020100768599,3.341844697679342,0.7696831486085881,0.23031685139141106,888.1484402423135,265.76592289254654,95.09624914047691,10.279013896696068,69.52978787729442,639.2020100768599,2021-01-15T04:46:17Z,2021-01-15T04:19:47Z,3,3,2.0,0.0,0.3333333333333333
54,0,0,0,657.5149207841913,3.4665367817364947,0.7761128926355281,0.22388710736447098,831.1468046877425,239.76286911670826,91.8576044431888,10.307523014089565,51.97873149181618,657.5149207841913,2021-01-15T04:47:17Z,2021-01-15T04:20:17Z,3,3,2.0,0.0,0.3333333333333333
55,0,0,0,659.6857249229738,3.8685010885477102,0.7945979713648771,0.205402028635122,767.9481438210997,198.51310009826008,91.33008122831532,10.00412165027099,42.74717867093942,659.6857249229738,2021-01-15T04:48:17Z,2021-01-15T04:20:47Z,1,3,2.0,0.0,0.3333333333333333
56,0,0,0,659.8389827563212,2.193742141958182,0.6868876836165391,0.31311231638346004,532.3918495702054,242.68661270051584,91.31362523023779,9.923984530479117,42.93419642337177,659.8389827563212,2021-01-15T04:49:17Z,2021-01-15T04:21:17Z,3,3,2.0,0.0,0.3333333333333333
